TRADE_CODE,BIGFIELD
ABIO,Потребсектор
AFLT,Транспорт
AGRO,Потребсектор
AKRN,Химпром
ALRS,Металлы_и_добыча
APTK,Потребсектор
AQUA,Потребсектор
BANEP,Нефтегаз
BELU,Потребсектор
BSPB,Финансы
CBOM,Финансы
CHMF,Металлы_и_добыча
CIAN,ИТ
DVEC,Электроэнергетика
ELFV,Электроэнергетика
ENPG,Металлы_и_добыча
ETLN,Строительные
FEES,Электроэнергетика
FESH,Транспорт
FIVE,Потребсектор
FIXP,Потребсектор
FLOT,Транспорт
GAZP,Нефтегаз
GEMC,Потребсектор
GLTR,Транспорт
GMKN,Металлы_и_добыча
HHRU,ИТ
HYDR,Электроэнергетика
IRAO,Электроэнергетика
KAZT,Химпром
KZOS,Химпром
KZOSP,Химпром
LENT,Потребсектор
LKOH,Нефтегаз
LSNGP,Электроэнергетика
LSRG,Строительные
MAGN,Металлы_и_добыча
MDMG,Потребсектор
MGNT,Потребсектор
MGTSP,Телекоммуникации
MOEX,Финансы
MRKC,Электроэнергетика
MRKP,Электроэнергетика
MRKU,Электроэнергетика
MRKV,Электроэнергетика
MRKZ,Электроэнергетика
MSNG,Электроэнергетика
MSRS,Электроэнергетика
MTLR,Металлы_и_добыча
MTLRP,Металлы_и_добыча
MTSS,Телекоммуникации
MVID,Потребсектор
NKHP,Транспорт
NKNC,Химпром
NKNCP,Химпром
NLMK,Металлы_и_добыча
NMTP,Транспорт
NVTK,Нефтегаз
OGKB,Электроэнергетика
OKEY,Потребсектор
OZON,ИТ
PHOR,Химпром
PIKK,Строительные
PLZL,Металлы_и_добыча
POLY,Металлы_и_добыча
POSI,ИТ
QIWI,Финансы
RASP,Металлы_и_добыча
RENI,Финансы
RNFT,Нефтегаз
ROSN,Нефтегаз
RTKM,Телекоммуникации
RTKMP,Телекоммуникации
RUAL,Металлы_и_добыча
SBER,Финансы
SBERP,Финансы
SELG,Металлы_и_добыча
SFIN,Финансы
SMLT,Строительные
SNGS,Нефтегаз
SNGSP,Нефтегаз
SPBE,Финансы
SVAV,Потребсектор
TATN,Нефтегаз
TATNP,Нефтегаз
TCSG,Финансы
TGKA,Электроэнергетика
TGKB,Электроэнергетика
TRNFP,Нефтегаз
TTLK,Телекоммуникации
UPRO,Электроэнергетика
VKCO,ИТ
VSMO,Металлы_и_добыча
VTBR,Финансы
WUSH,Потребсектор
YNDX,ИТ
