TRADE_CODE,INN,FIELD
RU000A101Z74,7744001497.0,кредитная организация
RU000A102DB2,7744001497.0,кредитная организация
RU000A102GJ8,7744001497.0,кредитная организация
RU000A102LU5,7744001497.0,кредитная организация
RU000A104B46,7744001497.0,кредитная организация
RU000A105GW4,7744001497.0,кредитная организация
RU000A1064G3,7744001497.0,кредитная организация
RU000A1003R8,7744001497.0,кредитная организация
RU000A100HH4,7744001497.0,кредитная организация
RU000A100JB3,7744001497.0,кредитная организация
RU000A101350,7744001497.0,кредитная организация
RU000A0JXP45,7744001497.0,кредитная организация
RU000A0ZYEE5,7744001497.0,кредитная организация
RU000A101ES6,7744001497.0,кредитная организация
RU000A106ZK7,7744001497.0,кредитная организация
RU000A101EQ0,7744001497.0,кредитная организация
RU000A101ER8,7744001497.0,кредитная организация
RU000A103K38,7744001497.0,кредитная организация
RU000A103EB8,7744001497.0,кредитная организация
RU000A103EC6,7744001497.0,кредитная организация
RU000A104YB4,7744001497.0,кредитная организация
RU000A104YC2,7744001497.0,кредитная организация
RU000A104YD0,7744001497.0,кредитная организация
RU000A104YE8,7744001497.0,кредитная организация
RU000A104YF5,7744001497.0,кредитная организация
RU000A104YG3,7744001497.0,кредитная организация
RU000A104YH1,7744001497.0,кредитная организация
RU000A104YJ7,7744001497.0,кредитная организация
RU000A104YK5,7744001497.0,кредитная организация
RU000A104YL3,7744001497.0,кредитная организация
RU000A0ZZFZ4,7744001497.0,кредитная организация
RU000A106YH6,7744001497.0,кредитная организация
RU000A0JUMH3,7744001497.0,кредитная организация
RU000A0JUQ39,7744001497.0,кредитная организация
RU000A0JUV08,7744001497.0,кредитная организация
CBOM,7734202860.0,кредитная организация
RU000A103FP5,7734202860.0,кредитная организация
RU000A103GW9,7734202860.0,кредитная организация
RU000A0ZZE87,7734202860.0,кредитная организация
RU000A101YW6,7734202860.0,кредитная организация
RU000A101YX4,7734202860.0,кредитная организация
RU000A102GE9,7734202860.0,кредитная организация
RU000A0JV3K6,7734202860.0,кредитная организация
RU000A102JZ8,7728168971.0,кредитная организация
RU000A102S80,7728168971.0,кредитная организация
RU000A1036E6,7728168971.0,кредитная организация
RU000A1037F1,7728168971.0,кредитная организация
RU000A104HY1,7728168971.0,кредитная организация
RU000A1030D1,7728168971.0,кредитная организация
RU000A100GW5,7728168971.0,кредитная организация
