"TRADE_CODE","INN","FIELD","BIGFIELD"
"ABIO",7702508905,"наука","Потребсектор"
"ABRD",7727620673,"Консультирование по вопросам коммерческой деятельности и управления",
"ACKO",7453297458,"Страховая компания",
"AFKS",7703104630,"Вложения в ценные бумаги",
"AFLT",7712040126,"Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию","транспорт"
"AGRO",,"торговля","Потребсектор"
"AKGD",7728142469,"Деятельность по управлению ценными бумагами",
"AKMB",7728142469,"Деятельность по управлению ценными бумагами",
"AKME",7728142469,"Деятельность по управлению ценными бумагами",
"AKMM",7728142469,"Деятельность по управлению ценными бумагами",
"AKQU",7728142469,"Деятельность по управлению ценными бумагами",
"AKRN",5321029508,"химическая промышленность","Химпром"
"ALRS",1433000147,"Добыча алмазов","Металлы и добыча"
"AMEZ",7401000473,"Производство листового горячекатаного стального проката",
"AMRB",7701253764,"Деятельность по управлению ценными бумагами",
"AMRE",7701253764,"Деятельность по управлению ценными бумагами",
"AMRH",7701253764,"Деятельность по управлению ценными бумагами",
"APTK",7722266450,"торговля","Потребсектор"
"AQUA",7816430057,"Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию","Потребсектор"
"ARSA",7840303927,"Деятельность по управлению ценными бумагами",
"ASSB",3017041554,"энергетика",
"ASTR",7726476459,"Деятельность по управлению холдинг-компаниями",
"AVAN",7702021163,"кредитная организация",
"BANE",274051582,"Добыча сырой нефти",
"BANEP",274051582,"Добыча сырой нефти","Нефтегаз"
"BCSB",5407191291,"Деятельность по управлению ценными бумагами",
"BELU",7705634425,"Консультирование по вопросам коммерческой деятельности и управления","Потребсектор"
"BISVP",274018377,"телекоммуникации",
"BLNG",5410102823,"торговля",
"BOND",7826685368,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",
"BRZL",323027345,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой гр",
"BSPB",7831000027,"кредитная организация","Финансы"
"BSPBP",7831000027,"кредитная организация",
"CARM",9704168849,"Деятельность холдинговых компаний",
"CBOM",7734202860,"кредитная организация","Финансы"
"CHGZ",8620003528,"нефтегазовая промышленность",
"CHKZ",7449006184,"металлургия",
"CHMF",3528000597,"Производство чугуна, стали и ферросплавов","Металлы и добыча"
"CHMK",7450001007,"металлургия",
